# Version 1.00
#
freq[Hz]	re:Trc1_S11	im:Trc1_S11	re:Trc2_S11	im:Trc2_S11	
1.535000000000000E+008	-2.410463392734528E-001	6.813231110572815E-001	-2.410463392734528E-001	6.813231110572815E-001	
1.540000000000000E+008	-4.910646378993988E-002	7.161892056465149E-001	-4.910646378993988E-002	7.161892056465149E-001	
1.545000000000000E+008	1.399501413106918E-001	7.048975229263306E-001	1.399501413106918E-001	7.048975229263306E-001	
1.550000000000000E+008	3.189644515514374E-001	6.436019539833069E-001	3.189644515514374E-001	6.436019539833069E-001	
1.555000000000000E+008	4.729291796684265E-001	5.397874116897583E-001	4.729291796684265E-001	5.397874116897583E-001	
1.560000000000000E+008	5.957915782928467E-001	4.029979705810547E-001	5.957915782928467E-001	4.029979705810547E-001	
1.565000000000000E+008	6.789262890815735E-001	2.409011572599411E-001	6.789262890815735E-001	2.409011572599411E-001	
1.570000000000000E+008	7.189153432846069E-001	6.422583013772965E-002	7.189153432846069E-001	6.422583013772965E-002	
1.575000000000000E+008	7.147150039672852E-001	-1.148312017321587E-001	7.147150039672852E-001	-1.148312017321587E-001	
1.580000000000000E+008	6.657289266586304E-001	-2.840216755867004E-001	6.657289266586304E-001	-2.840216755867004E-001	
1.585000000000000E+008	5.816555619239807E-001	-4.375062584877014E-001	5.816555619239807E-001	-4.375062584877014E-001	
1.590000000000000E+008	4.606452882289887E-001	-5.645598173141480E-001	4.606452882289887E-001	-5.645598173141480E-001	
1.595000000000000E+008	3.158449828624725E-001	-6.601893305778503E-001	3.158449828624725E-001	-6.601893305778503E-001	
1.600000000000000E+008	1.546530574560165E-001	-7.157511711120606E-001	1.546530574560165E-001	-7.157511711120606E-001	
1.605000000000000E+008	-1.550418138504028E-002	-7.336334586143494E-001	-1.550418138504028E-002	-7.336334586143494E-001	
1.610000000000000E+008	-1.808453947305679E-001	-7.099095582962036E-001	-1.808453947305679E-001	-7.099095582962036E-001	
1.615000000000000E+008	-3.377322256565094E-001	-6.519400477409363E-001	-3.377322256565094E-001	-6.519400477409363E-001	
1.620000000000000E+008	-4.752213060855866E-001	-5.587132573127747E-001	-4.752213060855866E-001	-5.587132573127747E-001	
1.625000000000000E+008	-5.859395861625671E-001	-4.398678541183472E-001	-5.859395861625671E-001	-4.398678541183472E-001	
1.630000000000000E+008	-6.690027117729187E-001	-2.958529591560364E-001	-6.690027117729187E-001	-2.958529591560364E-001	
1.635000000000000E+008	-7.160660028457642E-001	-1.410686969757080E-001	-7.160660028457642E-001	-1.410686969757080E-001	
1.640000000000000E+008	-7.265930175781250E-001	2.072638832032681E-002	-7.265930175781250E-001	2.072638832032681E-002	
1.645000000000000E+008	-7.039652466773987E-001	1.799091547727585E-001	-7.039652466773987E-001	1.799091547727585E-001	
1.650000000000000E+008	-6.426886320114136E-001	3.310691118240356E-001	-6.426886320114136E-001	3.310691118240356E-001	
1.655000000000000E+008	-5.533830523490906E-001	4.632659256458283E-001	-5.533830523490906E-001	4.632659256458283E-001	
1.660000000000000E+008	-4.352397322654724E-001	5.743579864501953E-001	-4.352397322654724E-001	5.743579864501953E-001	
1.665000000000000E+008	-2.956917881965637E-001	6.532637476921082E-001	-2.956917881965637E-001	6.532637476921082E-001	
1.670000000000000E+008	-1.424191743135452E-001	7.012967467308044E-001	-1.424191743135452E-001	7.012967467308044E-001	
