# Version 1.00
#
freq[Hz]	Trc1_S11[U]	Trc2_S11[U]	
1.670000000000000E+008	6.057523871245523E+000	6.057523871245523E+000	
1.675000000000000E+008	6.076308993189175E+000	6.076308993189175E+000	
1.680000000000000E+008	5.978362770842504E+000	5.978362770842504E+000	
1.685000000000000E+008	5.942042335619617E+000	5.942042335619617E+000	
1.690000000000000E+008	5.924397309251940E+000	5.924397309251940E+000	
1.695000000000000E+008	5.989294421538307E+000	5.989294421538307E+000	
1.700000000000000E+008	5.979340011775455E+000	5.979340011775455E+000	
1.705000000000000E+008	6.022063712089815E+000	6.022063712089815E+000	
1.710000000000000E+008	6.032903289540815E+000	6.032903289540815E+000	
1.715000000000000E+008	6.069990903107935E+000	6.069990903107935E+000	
1.720000000000000E+008	6.120225423308329E+000	6.120225423308329E+000	
1.725000000000000E+008	6.167912972691243E+000	6.167912972691243E+000	
1.730000000000000E+008	6.218526782347943E+000	6.218526782347943E+000	
1.735000000000000E+008	6.256970443548489E+000	6.256970443548489E+000	
1.740000000000000E+008	6.300253229258427E+000	6.300253229258427E+000	
1.745000000000000E+008	6.368921714895003E+000	6.368921714895003E+000	
1.750000000000000E+008	6.362647272922325E+000	6.362647272922325E+000	
1.755000000000000E+008	6.366750468117985E+000	6.366750468117985E+000	
1.760000000000000E+008	6.356708153547381E+000	6.356708153547381E+000	
1.765000000000000E+008	6.343482280017839E+000	6.343482280017839E+000	
1.770000000000000E+008	6.337878805709643E+000	6.337878805709643E+000	
1.775000000000000E+008	6.339184658662337E+000	6.339184658662337E+000	
1.780000000000000E+008	6.341422754473053E+000	6.341422754473053E+000	
1.785000000000000E+008	6.269795738034238E+000	6.269795738034238E+000	
1.790000000000000E+008	6.295946090999993E+000	6.295946090999993E+000	
1.795000000000000E+008	6.257419348191100E+000	6.257419348191100E+000	
1.800000000000000E+008	6.201466423363967E+000	6.201466423363967E+000	
1.805000000000000E+008	6.211859956456330E+000	6.211859956456330E+000	
1.810000000000000E+008	6.216075611255620E+000	6.216075611255620E+000	
1.815000000000000E+008	6.180799034491415E+000	6.180799034491415E+000	
1.820000000000000E+008	6.174572654677286E+000	6.174572654677286E+000	
1.825000000000000E+008	6.157919797514815E+000	6.157919797514815E+000	
1.830000000000000E+008	6.140221550539050E+000	6.140221550539050E+000	
1.835000000000000E+008	6.154400826882355E+000	6.154400826882355E+000	
1.840000000000000E+008	6.116817184167653E+000	6.116817184167653E+000	
1.845000000000000E+008	6.118601072505128E+000	6.118601072505128E+000	
1.850000000000000E+008	6.083174755349785E+000	6.083174755349785E+000	
1.855000000000000E+008	6.091943110864039E+000	6.091943110864039E+000	
1.860000000000000E+008	6.066002005098288E+000	6.066002005098288E+000	
1.865000000000000E+008	6.083798420608252E+000	6.083798420608252E+000	
1.870000000000000E+008	6.096630875862492E+000	6.096630875862492E+000	
1.875000000000000E+008	6.078539181827844E+000	6.078539181827844E+000	
1.880000000000000E+008	6.075704833499494E+000	6.075704833499494E+000	
1.885000000000000E+008	6.047432524924111E+000	6.047432524924111E+000	
1.890000000000000E+008	6.058489272296195E+000	6.058489272296195E+000	
1.895000000000000E+008	6.047131296995725E+000	6.047131296995725E+000	
1.900000000000000E+008	6.040783167717546E+000	6.040783167717546E+000	
